-- dump date   	20080125_165742
-- class       	Genbank::Feature
-- table       	feature
-- table       	main
-- field 1	id
-- field 2	type
-- field 3	name
-- field 4	contig
-- field 5	start_pos
-- field 6	end_pos
-- field 7	strand
-- field 8	description
-- field 9	chrom_position
-- field 10	organism
-- field 11	GeneID
-- header
-- id	type	name	contig	start_pos	end_pos	strand	description	chrom_position	organism	GeneID
83333000001	SEQ_END	SEQ_END	NC_000913.2	4639675	4639675	DR	NC_000913.2; contig end	4639675..4639675	Escherichia coli K12	<NULL_VALUE>
NP_418045.4	CDS	aldB	NC_000913.2	3752996	3754534	R	aldehyde dehydrogenase B	complement(3752996..3754534)	Escherichia coli K12	948104
YP_026233.1	CDS	yiaY	NC_000913.2	3754699	3755850	R	predicted Fe-containing alcohol dehydrogenase	complement(3754699..3755850)	Escherichia coli K12	948102
NP_418047.1	CDS	selB	NC_000913.2	3756040	3757884	R	selenocysteinyl-tRNA-specific translation factor	complement(3756040..3757884)	Escherichia coli K12	948103
NP_418048.1	CDS	selA	NC_000913.2	3757881	3759272	R	selenocysteine synthase	complement(3757881..3759272)	Escherichia coli K12	948124
NP_418049.1	CDS	yibF	NC_000913.2	3759370	3759978	R	predicted glutathione S-transferase	complement(3759370..3759978)	Escherichia coli K12	948113
NP_418050.1	CDS	rhsA	NC_000913.2	3760206	3764339	D	rhsA element core protein RshA	3760206..3764339	Escherichia coli K12	948120
NP_418051.1	CDS	yibA	NC_000913.2	3764360	3765202	D	lyase containing HEAT-repeat	3764360..3765202	Escherichia coli K12	948108
b3595	CDS	yibJ	NC_000913.2	3765244	3766188	D	b3595	3765244..3766188	Escherichia coli K12	948112
NP_418053.1	CDS	yibG	NC_000913.2	3766200	3766661	D	conserved protein	3766200..3766661	Escherichia coli K12	948111
b4650	CDS	yibS	NC_000913.2	3766662	3766913	D	b4650	3766662..3766913	Escherichia coli K12	5625576
b4651	CDS	yibW	NC_000913.2	3766915	3767279	D	b4651	join(3766915..3766998,3767016..3767279)	Escherichia coli K12	5625577
YP_001165329.1	CDS	yibV	NC_000913.2	3767368	3767703	D	hypothetical protein, no homologs	3767368..3767703	Escherichia coli K12	5061524
b4652	CDS	yibU	NC_000913.2	3767971	3768169	D	b4652	join(3767971..3768057,3768056..3768169)	Escherichia coli K12	5625578
NP_418054.1	CDS	yibH	NC_000913.2	3768266	3769402	R	predicted protein	complement(3768266..3769402)	Escherichia coli K12	948110
NP_418055.1	CDS	yibI	NC_000913.2	3769405	3769767	R	predicted inner membrane protein	complement(3769405..3769767)	Escherichia coli K12	948109
NP_418056.1	CDS	mtlA	NC_000913.2	3770304	3772217	D	fused mannitol-specific PTS enzymes: IIA components/IIB components/IIC components	3770304..3772217	Escherichia coli K12	948118
NP_418057.1	CDS	mtlD	NC_000913.2	3772447	3773595	D	mannitol-1-phosphate dehydrogenase, NAD(P)-binding	3772447..3773595	Escherichia coli K12	948117
NP_418058.1	CDS	mtlR	NC_000913.2	3773595	3774182	D	DNA-binding repressor	3773595..3774182	Escherichia coli K12	948116
YP_588470.1	CDS	yibT	NC_000913.2	3774194	3774403	R	predicted protein	complement(3774194..3774403)	Escherichia coli K12	1450299
NP_418059.1	CDS	yibL	NC_000913.2	3774688	3775050	D	conserved protein	3774688..3775050	Escherichia coli K12	948115
NP_418060.1	CDS	lldP	NC_000913.2	3775422	3777077	D	L-lactate permease	3775422..3777077	Escherichia coli K12	948114
NP_418061.1	CDS	lldR	NC_000913.2	3777077	3777853	D	DNA-binding transcriptional repressor	3777077..3777853	Escherichia coli K12	948122
NP_418062.1	CDS	lldD	NC_000913.2	3777850	3779040	D	L-lactate dehydrogenase, FMN-linked	3777850..3779040	Escherichia coli K12	948121
NP_418063.1	CDS	yibK	NC_000913.2	3779238	3779711	D	predicted rRNA methylase	3779238..3779711	Escherichia coli K12	948119
NP_418064.1	CDS	cysE	NC_000913.2	3779764	3780585	R	serine acetyltransferase	complement(3779764..3780585)	Escherichia coli K12	948126
NP_418065.1	CDS	gpsA	NC_000913.2	3780665	3781684	R	glycerol-3-phosphate dehydrogenase (NAD+)	complement(3780665..3781684)	Escherichia coli K12	948125
NP_418066.1	CDS	secB	NC_000913.2	3781684	3782151	R	protein export chaperone	complement(3781684..3782151)	Escherichia coli K12	948123
NP_418067.1	CDS	grxC	NC_000913.2	3782214	3782465	R	glutaredoxin 3	complement(3782214..3782465)	Escherichia coli K12	948132
NP_418068.1	CDS	yibN	NC_000913.2	3782607	3783038	R	predicted rhodanese-related sulfurtransferase	complement(3782607..3783038)	Escherichia coli K12	948131
NP_418069.1	CDS	gpmM	NC_000913.2	3783283	3784827	D	phosphoglycero mutase III, cofactor-independent	3783283..3784827	Escherichia coli K12	948130
NP_418070.6	CDS	envC	NC_000913.2	3784861	3786120	D	protease with a role in cell division	3784861..3786120	Escherichia coli K12	948129
NP_418071.4	CDS	yibQ	NC_000913.2	3786124	3787083	D	predicted polysaccharide deacetylase	3786124..3787083	Escherichia coli K12	948128
NP_418072.1	CDS	yibD	NC_000913.2	3787070	3788104	R	predicted glycosyl transferase	complement(3787070..3788104)	Escherichia coli K12	948140
NP_418073.1	CDS	tdh	NC_000913.2	3788343	3789368	R	threonine 3-dehydrogenase, NAD(P)-binding	complement(3788343..3789368)	Escherichia coli K12	948139
NP_418074.1	CDS	kbl	NC_000913.2	3789378	3790574	R	glycine C-acetyltransferase	complement(3789378..3790574)	Escherichia coli K12	948138
NP_418075.2	CDS	htrL	NC_000913.2	3790849	3791706	R	predicted protein	complement(3790849..3791706)	Escherichia coli K12	948137
NP_418076.1	CDS	rfaD	NC_000913.2	3792010	3792942	D	ADP-L-glycero-D-mannoheptose-6-epimerase, NAD(P)-binding	3792010..3792942	Escherichia coli K12	948134
NP_418077.1	CDS	rfaF	NC_000913.2	3792952	3793998	D	ADP-heptose:LPS heptosyltransferase II	3792952..3793998	Escherichia coli K12	948135
NP_418078.1	CDS	rfaC	NC_000913.2	3794002	3794961	D	ADP-heptose:LPS heptosyl transferase I	3794002..3794961	Escherichia coli K12	948136
NP_418079.1	CDS	rfaL	NC_000913.2	3794971	3796230	D	O-antigen ligase	3794971..3796230	Escherichia coli K12	948148
NP_418080.1	CDS	waaU	NC_000913.2	3796262	3797335	R	lipopolysaccharide core biosynthesis	complement(3796262..3797335)	Escherichia coli K12	948147
NP_418081.1	CDS	rfaZ	NC_000913.2	3797368	3798219	R	lipopolysaccharide core biosynthesis protein	complement(3797368..3798219)	Escherichia coli K12	948146
NP_418082.1	CDS	rfaY	NC_000913.2	3798290	3798988	R	lipopolysaccharide core biosynthesis protein	complement(3798290..3798988)	Escherichia coli K12	948145
NP_418083.1	CDS	rfaJ	NC_000913.2	3799006	3800022	R	UDP-D-glucose:(galactosyl)lipopolysaccharide glucosyltransferase	complement(3799006..3800022)	Escherichia coli K12	948142
NP_418084.1	CDS	rfaI	NC_000913.2	3800062	3801081	R	UDP-D-galactose:(glucosyl)lipopolysaccharide- alpha-1,3-D-galactosyltransferase	complement(3800062..3801081)	Escherichia coli K12	948143
NP_418085.1	CDS	rfaB	NC_000913.2	3801081	3802190	R	UDP-D-galactose:(glucosyl)lipopolysaccharide-1, 6-D-galactosyltransferase	complement(3801081..3802190)	Escherichia coli K12	948144
NP_418086.1	CDS	rfaS	NC_000913.2	3802204	3803139	R	lipopolysaccharide core biosynthesis protein	complement(3802204..3803139)	Escherichia coli K12	948151
NP_418087.1	CDS	rfaP	NC_000913.2	3803176	3803973	R	kinase that phosphorylates core heptose of lipopolysaccharide	complement(3803176..3803973)	Escherichia coli K12	948150
NP_418088.1	CDS	rfaG	NC_000913.2	3803966	3805090	R	glucosyltransferase I	complement(3803966..3805090)	Escherichia coli K12	948149
NP_418089.1	CDS	rfaQ	NC_000913.2	3805087	3806121	R	lipopolysaccharide core biosynthesis protein	complement(3805087..3806121)	Escherichia coli K12	948155
NP_418090.1	CDS	waaA	NC_000913.2	3806563	3807840	D	3-deoxy-D-manno-octulosonic-acid transferase (KDO transferase)	3806563..3807840	Escherichia coli K12	949048
NP_418091.1	CDS	coaD	NC_000913.2	3807848	3808327	D	pantetheine-phosphate adenylyltransferase	3807848..3808327	Escherichia coli K12	947386
NP_418092.1	CDS	mutM	NC_000913.2	3808366	3809175	R	formamidopyrimidine/5-formyluracil/ 5-hydroxymethyluracil DNA glycosylase	complement(3808366..3809175)	Escherichia coli K12	946765
NP_418093.1	CDS	rpmG	NC_000913.2	3809273	3809440	R	50S ribosomal subunit protein L33	complement(3809273..3809440)	Escherichia coli K12	946318
NP_418094.1	CDS	rpmB	NC_000913.2	3809461	3809697	R	50S ribosomal subunit protein L28	complement(3809461..3809697)	Escherichia coli K12	946941
NP_418095.4	CDS	yicR	NC_000913.2	3809914	3810582	R	protein associated with replication fork, possible DNA repair protein	complement(3809914..3810582)	Escherichia coli K12	948968
NP_418096.4	CDS	dfp	NC_000913.2	3810754	3811974	D	fused 4'-phosphopantothenoylcysteine decarboxylase/phosphopantothenoylcysteine synthetase, FMN-binding	3810754..3811974	Escherichia coli K12	949047
NP_418097.1	CDS	dut	NC_000913.2	3811955	3812410	D	deoxyuridinetriphosphatase	3811955..3812410	Escherichia coli K12	948607
NP_418098.4	CDS	slmA	NC_000913.2	3812517	3813113	D	division inhibitor	3812517..3813113	Escherichia coli K12	948158
NP_418099.1	CDS	pyrE	NC_000913.2	3813150	3813791	R	orotate phosphoribosyltransferase	complement(3813150..3813791)	Escherichia coli K12	948157
YP_001491547.1	CDS	rph	NC_000913.2	3813886	3814572	R	defective ribonuclease PH	complement(3813886..3814572)	Escherichia coli K12	948156
NP_418101.1	CDS	yicC	NC_000913.2	3814699	3815562	D	conserved protein	3814699..3815562	Escherichia coli K12	948154
NP_418102.2	CDS	dinD	NC_000913.2	3815783	3816607	D	DNA-damage-inducible protein	3815783..3816607	Escherichia coli K12	948153
NP_418103.4	CDS	yicG	NC_000913.2	3816897	3817514	D	conserved inner membrane protein	3816897..3817514	Escherichia coli K12	948165
NP_418104.2	CDS	ligB	NC_000913.2	3817511	3819193	R	DNA ligase, NAD(+)-dependent	complement(3817511..3819193)	Escherichia coli K12	948164
NP_418105.1	CDS	gmk	NC_000913.2	3819451	3820074	D	guanylate kinase	3819451..3820074	Escherichia coli K12	948163
NP_418106.1	CDS	rpoZ	NC_000913.2	3820129	3820404	D	RNA polymerase, omega subunit	3820129..3820404	Escherichia coli K12	948160
NP_418107.1	CDS	spoT	NC_000913.2	3820423	3822531	D	bifunctional (p)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase	3820423..3822531	Escherichia coli K12	948159
NP_418108.1	CDS	trmH	NC_000913.2	3822538	3823227	D	tRNA (Guanosine-2'-O-)-methyltransferase	3822538..3823227	Escherichia coli K12	948161
NP_418109.1	CDS	recG	NC_000913.2	3823233	3825314	D	ATP-dependent DNA helicase	3823233..3825314	Escherichia coli K12	948162
NP_418110.1	CDS	gltS	NC_000913.2	3825483	3826688	R	glutamate transporter	complement(3825483..3826688)	Escherichia coli K12	948166
NP_418111.1	CDS	yicE	NC_000913.2	3826968	3828359	D	predicted transporter	3826968..3828359	Escherichia coli K12	948172
NP_418112.1	CDS	yicH	NC_000913.2	3828480	3830189	D	conserved protein	3828480..3830189	Escherichia coli K12	948171
NP_418113.1	CDS	yicI	NC_000913.2	3830242	3832560	R	predicted alpha-glucosidase	complement(3830242..3832560)	Escherichia coli K12	948169
NP_418114.4	CDS	yicJ	NC_000913.2	3832570	3833952	R	predicted transporter	complement(3832570..3833952)	Escherichia coli K12	948168
b4653	CDS	yicT	NC_000913.2	3834448	3834579	D	b4653	3834448..3834579	Escherichia coli K12	5625579
NP_418115.1	CDS	setC	NC_000913.2	3834976	3836160	D	predicted sugar efflux system	3834976..3836160	Escherichia coli K12	948177
NP_418116.1	CDS	yicL	NC_000913.2	3836271	3837194	D	predicted inner membrane protein	3836271..3837194	Escherichia coli K12	948176
NP_418117.1	CDS	nlpA	NC_000913.2	3837198	3838016	R	cytoplasmic membrane lipoprotein-28	complement(3837198..3838016)	Escherichia coli K12	948175
YP_588471.1	CDS	yicS	NC_000913.2	3838238	3838531	D	predicted protein	3838238..3838531	Escherichia coli K12	1450300
NP_418118.2	CDS	nepI	NC_000913.2	3838572	3839762	R	predicted transporter	complement(3838572..3839762)	Escherichia coli K12	948213
NP_418119.2	CDS	yicN	NC_000913.2	3839973	3840425	R	conserved protein	complement(3839973..3840425)	Escherichia coli K12	948173
NP_418120.2	CDS	yicO	NC_000913.2	3840478	3841812	R	predicted xanthine/uracil permase	complement(3840478..3841812)	Escherichia coli K12	948174
NP_418121.1	CDS	ade	NC_000913.2	3841987	3843753	D	cryptic adenine deaminase	3841987..3843753	Escherichia coli K12	948210
NP_418122.1	CDS	uhpT	NC_000913.2	3843799	3845190	R	hexose phosphate transporter	complement(3843799..3845190)	Escherichia coli K12	948201
NP_418123.2	CDS	uhpC	NC_000913.2	3845328	3846647	R	membrane protein regulates uhpT expression	complement(3845328..3846647)	Escherichia coli K12	948184
NP_418124.4	CDS	uhpB	NC_000913.2	3846657	3848159	R	sensory histidine kinase in two-component regulatory sytem with UhpA	complement(3846657..3848159)	Escherichia coli K12	948195
NP_418125.1	CDS	uhpA	NC_000913.2	3848159	3848749	R	DNA-binding response regulator in two-component regulatory system wtih UhpB	complement(3848159..3848749)	Escherichia coli K12	948178
NP_418126.1	CDS	ilvN	NC_000913.2	3848825	3849115	R	acetolactate synthase I, small subunit	complement(3848825..3849115)	Escherichia coli K12	948183
NP_418127.1	CDS	ilvB	NC_000913.2	3849119	3850807	R	acetolactate synthase I, large subunit	complement(3849119..3850807)	Escherichia coli K12	948182
NP_418128.1	CDS	ivbL	NC_000913.2	3850913	3851011	R	ilvB operon leader peptide	complement(3850913..3851011)	Escherichia coli K12	948181
YP_001165330.1	CDS	tisA	NC_000913.2	3851466	3851579	D	lexA-regulated predicted protein	3851466..3851579	Escherichia coli K12	5061526
YP_001165331.1	CDS	tisB	NC_000913.2	3851576	3851665	D	lexA-regulated toxic peptide	3851576..3851665	Escherichia coli K12	5061527
NP_418129.2	CDS	emrD	NC_000913.2	3851945	3853129	D	multidrug efflux system protein	3851945..3853129	Escherichia coli K12	948180
NP_418130.1	CDS	yidF	NC_000913.2	3853137	3853634	R	predicted DNA-binding transcriptional regulator	complement(3853137..3853634)	Escherichia coli K12	948179
NP_418131.1	CDS	yidG	NC_000913.2	3853631	3853993	R	predicted inner membrane protein	complement(3853631..3853993)	Escherichia coli K12	948191
NP_418132.1	CDS	yidH	NC_000913.2	3853983	3854330	R	conserved inner membrane protein	complement(3853983..3854330)	Escherichia coli K12	948190
NP_418133.1	CDS	yidI	NC_000913.2	3854438	3854887	D	predicted inner membrane protein	3854438..3854887	Escherichia coli K12	948189
NP_418134.1	CDS	yidJ	NC_000913.2	3854934	3856427	R	predicted sulfatase/phosphatase	complement(3854934..3856427)	Escherichia coli K12	948188
NP_418135.1	CDS	yidK	NC_000913.2	3856424	3858139	R	predicted transporter	complement(3856424..3858139)	Escherichia coli K12	948185
NP_418136.1	CDS	yidL	NC_000913.2	3858276	3859199	D	predicted DNA-binding transcriptional regulator	3858276..3859199	Escherichia coli K12	948186
b4556	CDS	glvG	NC_000913.2	3859196	3860010	R	b4556	complement(3859196..3860010)	Escherichia coli K12	1450301
b3683	CDS	glvC	NC_000913.2	3860010	3861626	R	b3683	complement(3860010..3861626)	Escherichia coli K12	2847721
NP_418139.1	CDS	yidP	NC_000913.2	3861922	3862638	D	predicted DNA-binding transcriptional regulator	3861922..3862638	Escherichia coli K12	948194
NP_418140.4	CDS	yidE	NC_000913.2	3862635	3864296	R	predicted transporter	complement(3862635..3864296)	Escherichia coli K12	948193
NP_418141.2	CDS	ibpB	NC_000913.2	3864492	3864920	R	heat shock chaperone	complement(3864492..3864920)	Escherichia coli K12	948192
NP_418142.1	CDS	ibpA	NC_000913.2	3865032	3865445	R	heat shock chaperone	complement(3865032..3865445)	Escherichia coli K12	948200
NP_418143.2	CDS	yidQ	NC_000913.2	3865751	3866083	D	conserved outer membrane protein	3865751..3866083	Escherichia coli K12	948199
NP_418144.2	CDS	yidR	NC_000913.2	3866085	3867299	R	conserved protein	complement(3866085..3867299)	Escherichia coli K12	948198
NP_418145.2	CDS	cbrA	NC_000913.2	3867400	3868464	D	predicted oxidoreductase with FAD/NAD(P)-binding domain	3867400..3868464	Escherichia coli K12	948197
NP_418146.4	CDS	dgoT	NC_000913.2	3868461	3869753	R	D-galactonate transporter	complement(3868461..3869753)	Escherichia coli K12	948196
YP_026237.1	CDS	dgoD	NC_000913.2	3869873	3871021	R	galactonate dehydratase	complement(3869873..3871021)	Escherichia coli K12	2847765
YP_026238.1	CDS	dgoA	NC_000913.2	3871018	3871635	R	2-oxo-3-deoxygalactonate 6-phosphate aldolase	complement(3871018..3871635)	Escherichia coli K12	2847766
NP_418148.1	CDS	dgoK	NC_000913.2	3871619	3872497	R	2-oxo-3-deoxygalactonate kinase	complement(3871619..3872497)	Escherichia coli K12	948207
YP_026239.1	CDS	dgoR	NC_000913.2	3872494	3873183	R	predicted DNA-binding transcriptional regulator	complement(3872494..3873183)	Escherichia coli K12	2847767
YP_026240.1	CDS	yidX	NC_000913.2	3873461	3874117	D	predicted lipoproteinC	3873461..3874117	Escherichia coli K12	948202
NP_418152.1	CDS	yidA	NC_000913.2	3874163	3874975	R	predicted hydrolase	complement(3874163..3874975)	Escherichia coli K12	948204
NP_418153.4	CDS	yidB	NC_000913.2	3875090	3875488	R	conserved protein	complement(3875090..3875488)	Escherichia coli K12	948212
YP_026241.1	CDS	gyrB	NC_000913.2	3875728	3878142	R	DNA gyrase, subunit B	complement(3875728..3878142)	Escherichia coli K12	948211
NP_418155.1	CDS	recF	NC_000913.2	3878171	3879244	R	gap repair protein	complement(3878171..3879244)	Escherichia coli K12	948209
NP_418156.1	CDS	dnaN	NC_000913.2	3879244	3880344	R	DNA polymerase III, beta subunit	complement(3879244..3880344)	Escherichia coli K12	948218
NP_418157.1	CDS	dnaA	NC_000913.2	3880349	3881752	R	chromosomal replication initiator protein DnaA, DNA-binding transcriptional dual regulator	complement(3880349..3881752)	Escherichia coli K12	948217
NP_418158.1	CDS	rpmH	NC_000913.2	3882359	3882499	D	50S ribosomal subunit protein L34	3882359..3882499	Escherichia coli K12	948216
NP_418159.1	CDS	rnpA	NC_000913.2	3882516	3882875	D	protein C5 component of RNase P	3882516..3882875	Escherichia coli K12	948215
YP_588472.1	CDS	yidD	NC_000913.2	3882839	3883096	D	predicted protein	3882839..3883096	Escherichia coli K12	1450303
NP_418161.1	CDS	yidC	NC_000913.2	3883099	3884745	D	cytoplasmic insertase into membrane protein, Sec system	3883099..3884745	Escherichia coli K12	948214
NP_418162.1	CDS	mnmE	NC_000913.2	3884851	3886215	D	GTPase	3884851..3886215	Escherichia coli K12	948222
NP_418163.1	CDS	tnaC	NC_000913.2	3886458	3886532	D	tryptophanase leader peptide	3886458..3886532	Escherichia coli K12	948223
NP_418164.4	CDS	tnaA	NC_000913.2	3886753	3888168	D	tryptophanase/L-cysteine desulfhydrase, PLP-dependent	3886753..3888168	Escherichia coli K12	948221
NP_418165.1	CDS	tnaB	NC_000913.2	3888259	3889506	D	tryptophan transporter of low affinity	3888259..3889506	Escherichia coli K12	948220
NP_418166.1	CDS	mdtL	NC_000913.2	3889638	3890813	D	multidrug efflux system protein	3889638..3890813	Escherichia coli K12	948219
NP_418167.1	CDS	yidZ	NC_000913.2	3890788	3891747	D	predicted DNA-binding transcriptional regulator	3890788..3891747	Escherichia coli K12	948227
NP_418168.1	CDS	yieE	NC_000913.2	3891892	3892653	D	predicted phosphopantetheinyl transferase	3891892..3892653	Escherichia coli K12	948226
NP_418169.1	CDS	yieF	NC_000913.2	3892675	3893241	D	chromate reductase, Class I, flavoprotein	3892675..3893241	Escherichia coli K12	948225
NP_418170.1	CDS	yieG	NC_000913.2	3893295	3894632	R	predicted inner membrane protein	complement(3893295..3894632)	Escherichia coli K12	948224
NP_418171.1	CDS	yieH	NC_000913.2	3894797	3895462	D	predicted hydrolase	3894797..3895462	Escherichia coli K12	948232
NP_418172.1	CDS	cbrB	NC_000913.2	3895529	3895996	D	predicted inner membrane protein	3895529..3895996	Escherichia coli K12	948231
NP_418173.1	CDS	cbrC	NC_000913.2	3896045	3896632	D	conserved protein	3896045..3896632	Escherichia coli K12	948230
YP_026242.1	CDS	yieK	NC_000913.2	3896694	3897416	R	predicted 6-phosphogluconolactonase	complement(3896694..3897416)	Escherichia coli K12	948229
NP_418175.3	CDS	yieL	NC_000913.2	3897431	3898600	R	predicted xylanase	complement(3897431..3898600)	Escherichia coli K12	948272
NP_418176.1	CDS	bglH	NC_000913.2	3898627	3900243	R	carbohydrate-specific outer membrane porin, cryptic	complement(3898627..3900243)	Escherichia coli K12	948228
NP_418177.1	CDS	bglB	NC_000913.2	3900312	3901724	R	cryptic phospho-beta-glucosidase B	complement(3900312..3901724)	Escherichia coli K12	948234
NP_418178.1	CDS	bglF	NC_000913.2	3901743	3903620	R	fused beta-glucoside-specific PTS enzymes: IIA component/IIB component/IIC component	complement(3901743..3903620)	Escherichia coli K12	948236
NP_418179.1	CDS	bglG	NC_000913.2	3903754	3904590	R	transcriptional antiterminator of the bgl operon	complement(3903754..3904590)	Escherichia coli K12	948235
NP_418180.1	CDS	phoU	NC_000913.2	3904876	3905601	R	negative regulator of PhoR/PhoB two-component regulator	complement(3904876..3905601)	Escherichia coli K12	948233
NP_418181.1	CDS	pstB	NC_000913.2	3905616	3906389	R	phosphate transporter subunit	complement(3905616..3906389)	Escherichia coli K12	948240
NP_418182.1	CDS	pstA	NC_000913.2	3906572	3907462	R	phosphate transporter subunit	complement(3906572..3907462)	Escherichia coli K12	948239
NP_418183.1	CDS	pstC	NC_000913.2	3907462	3908421	R	phosphate transporter subunit	complement(3907462..3908421)	Escherichia coli K12	948238
NP_418184.1	CDS	pstS	NC_000913.2	3908508	3909548	R	phosphate transporter subunit	complement(3908508..3909548)	Escherichia coli K12	948237
NP_418185.1	CDS	glmS	NC_000913.2	3909862	3911691	R	L-glutamine:D-fructose-6-phosphate aminotransferase	complement(3909862..3911691)	Escherichia coli K12	948241
NP_418186.1	CDS	glmU	NC_000913.2	3911853	3913223	R	fused N-acetyl glucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyl transferase	complement(3911853..3913223)	Escherichia coli K12	948246
NP_418187.1	CDS	atpC	NC_000913.2	3913576	3913995	R	F1 sector of membrane-bound ATP synthase, epsilon subunit	complement(3913576..3913995)	Escherichia coli K12	948245
NP_418188.1	CDS	atpD	NC_000913.2	3914016	3915398	R	F1 sector of membrane-bound ATP synthase, beta subunit	complement(3914016..3915398)	Escherichia coli K12	948244
NP_418189.1	CDS	atpG	NC_000913.2	3915425	3916288	R	F1 sector of membrane-bound ATP synthase, gamma subunit	complement(3915425..3916288)	Escherichia coli K12	948243
NP_418190.1	CDS	atpA	NC_000913.2	3916339	3917880	R	F1 sector of membrane-bound ATP synthase, alpha subunit	complement(3916339..3917880)	Escherichia coli K12	948242
NP_418191.1	CDS	atpH	NC_000913.2	3917893	3918426	R	F1 sector of membrane-bound ATP synthase, delta subunit	complement(3917893..3918426)	Escherichia coli K12	948254
NP_418192.1	CDS	atpF	NC_000913.2	3918441	3918911	R	F0 sector of membrane-bound ATP synthase, subunit b	complement(3918441..3918911)	Escherichia coli K12	948247
NP_418193.1	CDS	atpE	NC_000913.2	3918973	3919212	R	F0 sector of membrane-bound ATP synthase, subunit c	complement(3918973..3919212)	Escherichia coli K12	948253
NP_418194.1	CDS	atpB	NC_000913.2	3919259	3920074	R	F0 sector of membrane-bound ATP synthase, subunit a	complement(3919259..3920074)	Escherichia coli K12	948252
NP_418195.2	CDS	atpI	NC_000913.2	3920083	3920463	R	ATP synthase, membrane-bound accesory subunit	complement(3920083..3920463)	Escherichia coli K12	948251
NP_418196.1	CDS	gidB	NC_000913.2	3921080	3921703	R	methyltransferase, SAM-dependent methyltransferase, glucose-inhibited cell-division protein	complement(3921080..3921703)	Escherichia coli K12	948250
NP_418197.1	CDS	mnmG	NC_000913.2	3921767	3923656	R	glucose-inhibited cell-division protein	complement(3921767..3923656)	Escherichia coli K12	948248
NP_418198.1	CDS	mioC	NC_000913.2	3924035	3924478	R	FMN-binding protein MioC	complement(3924035..3924478)	Escherichia coli K12	948249
NP_418199.1	CDS	asnC	NC_000913.2	3924568	3925026	R	DNA-binding transcriptional dual regulator	complement(3924568..3925026)	Escherichia coli K12	948259
NP_418200.1	CDS	asnA	NC_000913.2	3925178	3926170	D	asparagine synthetase A	3925178..3926170	Escherichia coli K12	948258
YP_026243.1	CDS	viaA	NC_000913.2	3926175	3927626	R	predicted von Willibrand factor containing protein	complement(3926175..3927626)	Escherichia coli K12	948257
NP_418202.4	CDS	ravA	NC_000913.2	3927620	3929116	R	fused predicted transcriptional regulator: sigma54 activator protein/conserved protein	complement(3927620..3929116)	Escherichia coli K12	948256
YP_026244.1	CDS	kup	NC_000913.2	3929339	3931207	D	potassium transporter	3929339..3931207	Escherichia coli K12	948255
NP_418204.2	CDS	rbsD	NC_000913.2	3931374	3931793	D	predicted cytoplasmic sugar-binding protein	3931374..3931793	Escherichia coli K12	948267
NP_418205.1	CDS	rbsA	NC_000913.2	3931801	3933306	D	fused D-ribose transporter subunits of ABC superfamily: ATP-binding components	3931801..3933306	Escherichia coli K12	948264
NP_418206.1	CDS	rbsC	NC_000913.2	3933311	3934276	D	D-ribose transporter subunit	3933311..3934276	Escherichia coli K12	948262
NP_418207.1	CDS	rbsB	NC_000913.2	3934301	3935191	D	D-ribose transporter subunit	3934301..3935191	Escherichia coli K12	948261
NP_418208.1	CDS	rbsK	NC_000913.2	3935317	3936246	D	ribokinase	3935317..3936246	Escherichia coli K12	948260
NP_418209.1	CDS	rbsR	NC_000913.2	3936250	3937242	D	DNA-binding transcriptional repressor of ribose metabolism	3936250..3937242	Escherichia coli K12	948266
NP_418210.1	CDS	hsrA	NC_000913.2	3937208	3938635	R	predicted multidrug or homocysteine efflux system	complement(3937208..3938635)	Escherichia coli K12	948265
YP_026245.1	CDS	yieP	NC_000913.2	3938658	3939350	R	predicted transcriptional regulator	complement(3938658..3939350)	Escherichia coli K12	948263
YP_026246.1	CDS	hdfR	NC_000913.2	3945151	3945990	R	DNA-binding transcriptional regulator	complement(3945151..3945990)	Escherichia coli K12	2847698
NP_418213.1	CDS	yifE	NC_000913.2	3946109	3946447	D	conserved protein	3946109..3946447	Escherichia coli K12	948274
NP_418214.2	CDS	yifB	NC_000913.2	3946472	3947992	R	predicted bifunctional enzyme and transcriptional regulator	complement(3946472..3947992)	Escherichia coli K12	948282
NP_418215.1	CDS	ilvL	NC_000913.2	3948345	3948443	D	ilvG operon leader peptide	3948345..3948443	Escherichia coli K12	948283
b4488	CDS	ilvG	NC_000913.2	3948583	3950227	D	b4488	join(3948583..3949566,3949565..3950227)	Escherichia coli K12	2847699
NP_418217.1	CDS	ilvM	NC_000913.2	3950224	3950487	D	acetolactate synthase II, small subunit	3950224..3950487	Escherichia coli K12	948279
YP_026247.1	CDS	ilvE	NC_000913.2	3950507	3951436	D	branched-chain amino-acid aminotransferase	3950507..3951436	Escherichia coli K12	948278
YP_026248.1	CDS	ilvD	NC_000913.2	3951501	3953351	D	dihydroxyacid dehydratase	3951501..3953351	Escherichia coli K12	948277
NP_418220.1	CDS	ilvA	NC_000913.2	3953354	3954898	D	threonine deaminase	3953354..3954898	Escherichia coli K12	948287
NP_418221.1	CDS	ilvY	NC_000913.2	3954950	3955843	R	DNA-binding transcriptional dual regulator	complement(3954950..3955843)	Escherichia coli K12	948284
